Grid Size ,24
 NULL, NodeType, GridX, GridY, Length, Width, Height, PosX, PosY, PosZ
0,1,1,4,2.0833330155,2.0833339691,0,15.6249995231,21.8750009537,0
0,1,1,3,2.0833320618,2.0833339691,0,17.7083320618,21.8750009537,0
0,0,0,4,2.0833330155,2.0833320618,0,15.6249995231,23.9583339691,0
0,1,1,3,2.0833320618,2.0833339691,0,17.7083320618,21.8750009537,0
0,1,0,3,2.0833320618,2.0833320618,0,17.7083320618,23.9583339691,0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
0,1,0,5,2.0833339691,2.0833320618,0,13.5416660308,23.9583339691,0
0,1,1,5,2.0833339691,2.0833339691,0,13.5416660308,21.8750009537,0
0,1,1,4,2.0833330155,2.0833339691,0,15.6249995231,21.8750009537,0
0,0,0,5,2.0833339691,2.0833320618,0,13.5416660308,23.9583339691,0
0,1,1,4,2.0833330155,2.0833339691,0,15.6249995231,21.8750009537,0
0,1,0,4,2.0833330155,2.0833320618,0,15.6249995231,23.9583339691,0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
0,1,0,6,2.0833330154,2.0833320618,0,11.4583325386,23.9583339691,0
0,1,1,6,2.0833330154,2.0833339691,0,11.4583325386,21.8750009537,0
0,1,1,5,2.0833339691,2.0833339691,0,13.5416660308,21.8750009537,0
0,0,0,6,2.0833330154,2.0833320618,0,11.4583325386,23.9583339691,0
0,1,1,5,2.0833339691,2.0833339691,0,13.5416660308,21.8750009537,0
0,1,0,5,2.0833339691,2.0833320618,0,13.5416660308,23.9583339691,0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
0,1,0,7,2.08333396913,2.0833320618,0,9.37499904633,23.9583339691,0
0,1,1,7,2.08333396913,2.0833339691,0,9.37499904633,21.8750009537,0
0,1,1,6,2.0833330154,2.0833339691,0,11.4583325386,21.8750009537,0
0,0,0,7,2.08333396913,2.0833320618,0,9.37499904633,23.9583339691,0
0,1,1,6,2.0833330154,2.0833339691,0,11.4583325386,21.8750009537,0
0,1,0,6,2.0833330154,2.0833320618,0,11.4583325386,23.9583339691,0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
0,1,0,8,2.08333349228,2.0833320618,0,7.29166531563,23.9583339691,0
0,1,1,8,2.08333349228,2.0833339691,0,7.29166531563,21.8750009537,0
0,1,1,7,2.08333396913,2.0833339691,0,9.37499904633,21.8750009537,0
0,0,0,8,2.08333349228,2.0833320618,0,7.29166531563,23.9583339691,0
0,1,1,7,2.08333396913,2.0833339691,0,9.37499904633,21.8750009537,0
0,1,0,7,2.08333396913,2.0833320618,0,9.37499904633,23.9583339691,0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
0,1,0,9,2.08333349228,2.0833320618,0,5.20833182335,23.9583339691,0
0,1,1,9,2.08333349228,2.0833339691,0,5.20833182335,21.8750009537,0
0,1,1,8,2.08333349228,2.0833339691,0,7.29166531563,21.8750009537,0
0,0,0,9,2.08333349228,2.0833320618,0,5.20833182335,23.9583339691,0
0,1,1,8,2.08333349228,2.0833339691,0,7.29166531563,21.8750009537,0
0,1,0,8,2.08333349228,2.0833320618,0,7.29166531563,23.9583339691,0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
0,1,0,10,2.08333349228,2.0833320618,0,3.12499833107,23.9583339691,0
0,1,1,10,2.08333349228,2.0833339691,0,3.12499833107,21.8750009537,0
0,1,1,9,2.08333349228,2.0833339691,0,5.20833182335,21.8750009537,0
0,0,0,10,2.08333349228,2.0833320618,0,3.12499833107,23.9583339691,0
0,1,1,9,2.08333349228,2.0833339691,0,5.20833182335,21.8750009537,0
0,1,0,9,2.08333349228,2.0833320618,0,5.20833182335,23.9583339691,0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
0,1,0,11,2.08333161573,2.0833320618,0,1.04166577706,23.9583339691,0
0,1,1,11,2.08333161573,2.0833339691,0,1.04166577706,21.8750009537,0
0,1,1,10,2.08333349228,2.0833339691,0,3.12499833107,21.8750009537,0
0,0,0,11,2.08333161573,2.0833320618,0,1.04166577706,23.9583339691,0
0,1,1,10,2.08333349228,2.0833339691,0,3.12499833107,21.8750009537,0
0,1,0,10,2.08333349228,2.0833320618,0,3.12499833107,23.9583339691,0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
0,1,0,12,2.08333513041,2.0833320618,0,1.04166759601,23.9583339691,0
0,1,1,12,2.08333513041,2.0833339691,0,1.04166759601,21.8750009537,0
0,1,1,11,2.08333161573,2.0833339691,0,1.04166577706,21.8750009537,0
0,0,0,12,2.08333513041,2.0833320618,0,1.04166759601,23.9583339691,0
0,1,1,11,2.08333161573,2.0833339691,0,1.04166577706,21.8750009537,0
0,1,0,11,2.08333161573,2.0833320618,0,1.04166577706,23.9583339691,0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
0,1,0,13,2.0833337307,2.0833320618,0,3.12500202656,23.9583339691,0
0,1,1,13,2.0833337307,2.0833339691,0,3.12500202656,21.8750009537,0
0,1,1,12,2.08333513041,2.0833339691,0,1.04166759601,21.8750009537,0
0,0,0,13,2.0833337307,2.0833320618,0,3.12500202656,23.9583339691,0
0,1,1,12,2.08333513041,2.0833339691,0,1.04166759601,21.8750009537,0
0,1,0,12,2.08333513041,2.0833320618,0,1.04166759601,23.9583339691,0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
0,1,0,14,2.08333349228,2.0833320618,0,5.20833563805,23.9583339691,0
0,1,1,14,2.08333349228,2.0833339691,0,5.20833563805,21.8750009537,0
0,1,1,13,2.0833337307,2.0833339691,0,3.12500202656,21.8750009537,0
0,0,0,14,2.08333349228,2.0833320618,0,5.20833563805,23.9583339691,0
0,1,1,13,2.0833337307,2.0833339691,0,3.12500202656,21.8750009537,0
0,1,0,13,2.0833337307,2.0833320618,0,3.12500202656,23.9583339691,0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
0,1,0,15,2.08333349227,2.0833320618,0,7.29166913032,23.9583339691,0
0,1,1,15,2.08333349227,2.0833339691,0,7.29166913032,21.8750009537,0
0,1,1,14,2.08333349228,2.0833339691,0,5.20833563805,21.8750009537,0
0,0,0,15,2.08333349227,2.0833320618,0,7.29166913032,23.9583339691,0
0,1,1,14,2.08333349228,2.0833339691,0,5.20833563805,21.8750009537,0
0,1,0,14,2.08333349228,2.0833320618,0,5.20833563805,23.9583339691,0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
0,1,0,16,2.08333396914,2.0833320618,0,9.37500286103,23.9583339691,0
0,1,1,16,2.08333396914,2.0833339691,0,9.37500286103,21.8750009537,0
0,1,1,15,2.08333349227,2.0833339691,0,7.29166913032,21.8750009537,0
0,0,0,16,2.08333396914,2.0833320618,0,9.37500286103,23.9583339691,0
0,1,1,15,2.08333349227,2.0833339691,0,7.29166913032,21.8750009537,0
0,1,0,15,2.08333349227,2.0833320618,0,7.29166913032,23.9583339691,0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
0,1,0,17,2.0833330154,2.0833320618,0,11.4583363533,23.9583339691,0
0,1,1,17,2.0833330154,2.0833339691,0,11.4583363533,21.8750009537,0
0,1,1,16,2.08333396914,2.0833339691,0,9.37500286103,21.8750009537,0
0,0,0,17,2.0833330154,2.0833320618,0,11.4583363533,23.9583339691,0
0,1,1,16,2.08333396914,2.0833339691,0,9.37500286103,21.8750009537,0
0,1,0,16,2.08333396914,2.0833320618,0,9.37500286103,23.9583339691,0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
0,1,0,18,2.0833330155,2.0833320618,0,13.5416693688,23.9583339691,0
0,1,1,18,2.0833330155,2.0833339691,0,13.5416693688,21.8750009537,0
0,1,1,17,2.0833330154,2.0833339691,0,11.4583363533,21.8750009537,0
0,0,0,18,2.0833330155,2.0833320618,0,13.5416693688,23.9583339691,0
0,1,1,17,2.0833330154,2.0833339691,0,11.4583363533,21.8750009537,0
0,1,0,17,2.0833330154,2.0833320618,0,11.4583363533,23.9583339691,0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
0,1,0,19,2.0833320617,2.0833320618,0,15.6250019074,23.9583339691,0
0,1,1,19,2.0833320617,2.0833339691,0,15.6250019074,21.8750009537,0
0,1,1,18,2.0833330155,2.0833339691,0,13.5416693688,21.8750009537,0
0,0,0,19,2.0833320617,2.0833320618,0,15.6250019074,23.9583339691,0
0,1,1,18,2.0833330155,2.0833339691,0,13.5416693688,21.8750009537,0
0,1,0,18,2.0833330155,2.0833320618,0,13.5416693688,23.9583339691,0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
0,1,0,20,2.0833339691,2.0833320618,0,17.7083349227,23.9583339691,0
0,1,1,20,2.0833339691,2.0833339691,0,17.7083349227,21.8750009537,0
0,1,1,19,2.0833320617,2.0833339691,0,15.6250019074,21.8750009537,0
0,0,0,20,2.0833339691,2.0833320618,0,17.7083349227,23.9583339691,0
0,1,1,19,2.0833320617,2.0833339691,0,15.6250019074,21.8750009537,0
0,1,0,19,2.0833320617,2.0833320618,0,15.6250019074,23.9583339691,0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
0,1,0,21,2.0833320618,2.0833320618,0,19.7916679382,23.9583339691,0
0,1,1,21,2.0833320618,2.0833339691,0,19.7916679382,21.8750009537,0
0,1,1,20,2.0833339691,2.0833339691,0,17.7083349227,21.8750009537,0
0,0,0,21,2.0833320618,2.0833320618,0,19.7916679382,23.9583339691,0
0,1,1,20,2.0833339691,2.0833339691,0,17.7083349227,21.8750009537,0
0,1,0,20,2.0833339691,2.0833320618,0,17.7083349227,23.9583339691,0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
0,1,0,22,2.0833339691,2.0833320618,0,21.8750009537,23.9583339691,0
0,1,1,22,2.0833339691,2.0833339691,0,21.8750009537,21.8750009537,0
0,1,1,21,2.0833320618,2.0833339691,0,19.7916679382,21.8750009537,0
0,0,0,22,2.0833339691,2.0833320618,0,21.8750009537,23.9583339691,0
0,1,1,21,2.0833320618,2.0833339691,0,19.7916679382,21.8750009537,0
0,1,0,21,2.0833320618,2.0833320618,0,19.7916679382,23.9583339691,0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
0,1,0,23,2.0833320618,2.0833320618,0,23.9583339691,23.9583339691,0
0,1,1,23,2.0833320618,2.0833339691,0,23.9583339691,21.8750009537,0
0,1,1,22,2.0833339691,2.0833339691,0,21.8750009537,21.8750009537,0
0,0,0,23,2.0833320618,2.0833320618,0,23.9583339691,23.9583339691,0
0,1,1,22,2.0833339691,2.0833339691,0,21.8750009537,21.8750009537,0
0,1,0,22,2.0833339691,2.0833320618,0,21.8750009537,23.9583339691,0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
0,1,1,23,2.0833320618,2.0833339691,0,23.9583339691,21.8750009537,0
0,0,1,0,2.0833320618,2.0833339691,0,23.9583301544,21.8750009537,0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
0,1,1,1,2.0833320617,2.0833339691,0,21.8749980926,21.8750009537,0
0,1,2,1,2.0833320617,2.0833320618,0,21.8749980926,19.7916679382,0
0,1,2,0,2.0833320618,2.0833320618,0,23.9583301544,19.7916679382,0
0,0,1,1,2.0833320617,2.0833339691,0,21.8749980926,21.8750009537,0
0,1,2,0,2.0833320618,2.0833320618,0,23.9583301544,19.7916679382,0
0,1,1,0,2.0833320618,2.0833339691,0,23.9583301544,21.8750009537,0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
0,1,1,2,2.0833339691,2.0833339691,0,19.7916650773,21.8750009537,0
0,1,2,2,2.0833339691,2.0833320618,0,19.7916650773,19.7916679382,0
0,1,2,1,2.0833320617,2.0833320618,0,21.8749980926,19.7916679382,0
0,0,1,2,2.0833339691,2.0833339691,0,19.7916650773,21.8750009537,0
0,1,2,1,2.0833320617,2.0833320618,0,21.8749980926,19.7916679382,0
0,1,1,1,2.0833320617,2.0833339691,0,21.8749980926,21.8750009537,0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
0,1,1,3,2.0833320618,2.0833339691,0,17.7083320618,21.8750009537,0
0,1,2,3,2.0833320618,2.0833320618,0,17.7083320618,19.7916679382,0
0,1,2,2,2.0833339691,2.0833320618,0,19.7916650773,19.7916679382,0
0,0,1,3,2.0833320618,2.0833339691,0,17.7083320618,21.8750009537,0
0,1,2,2,2.0833339691,2.0833320618,0,19.7916650773,19.7916679382,0
0,1,1,2,2.0833339691,2.0833339691,0,19.7916650773,21.8750009537,0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
0,1,1,4,2.0833330155,2.0833339691,0,15.6249995231,21.8750009537,0
0,1,2,4,2.0833330155,2.0833320618,0,15.6249995231,19.7916679382,0
0,1,2,3,2.0833320618,2.0833320618,0,17.7083320618,19.7916679382,0
0,0,1,4,2.0833330155,2.0833339691,0,15.6249995231,21.8750009537,0
0,1,2,3,2.0833320618,2.0833320618,0,17.7083320618,19.7916679382,0
0,1,1,3,2.0833320618,2.0833339691,0,17.7083320618,21.8750009537,0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
0,1,1,5,2.0833339691,2.0833339691,0,13.5416660308,21.8750009537,0
0,1,2,5,2.0833339691,2.0833320618,0,13.5416660308,19.7916679382,0
0,1,2,4,2.0833330155,2.0833320618,0,15.6249995231,19.7916679382,0
0,0,1,5,2.0833339691,2.0833339691,0,13.5416660308,21.8750009537,0
0,1,2,4,2.0833330155,2.0833320618,0,15.6249995231,19.7916679382,0
0,1,1,4,2.0833330155,2.0833339691,0,15.6249995231,21.8750009537,0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
0,1,1,6,2.0833330154,2.0833339691,0,11.4583325386,21.8750009537,0
0,1,2,6,2.0833330154,2.0833320618,0,11.4583325386,19.7916679382,0
0,1,2,5,2.0833339691,2.0833320618,0,13.5416660308,19.7916679382,0
0,0,1,6,2.0833330154,2.0833339691,0,11.4583325386,21.8750009537,0
0,1,2,5,2.0833339691,2.0833320618,0,13.5416660308,19.7916679382,0
0,1,1,5,2.0833339691,2.0833339691,0,13.5416660308,21.8750009537,0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
0,1,1,7,2.08333396913,2.0833339691,0,9.37499904633,21.8750009537,0
0,1,2,7,2.08333396913,2.0833320618,0,9.37499904633,19.7916679382,0
0,1,2,6,2.0833330154,2.0833320618,0,11.4583325386,19.7916679382,0
0,0,1,7,2.08333396913,2.0833339691,0,9.37499904633,21.8750009537,0
0,1,2,6,2.0833330154,2.0833320618,0,11.4583325386,19.7916679382,0
0,1,1,6,2.0833330154,2.0833339691,0,11.4583325386,21.8750009537,0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
0,1,1,8,2.08333349228,2.0833339691,0,7.29166531563,21.8750009537,0
0,1,2,8,2.08333349228,2.0833320618,0,7.29166531563,19.7916679382,0
0,1,2,7,2.08333396913,2.0833320618,0,9.37499904633,19.7916679382,0
0,0,1,8,2.08333349228,2.0833339691,0,7.29166531563,21.8750009537,0
0,1,2,7,2.08333396913,2.0833320618,0,9.37499904633,19.7916679382,0
0,1,1,7,2.08333396913,2.0833339691,0,9.37499904633,21.8750009537,0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
0,1,1,9,2.08333349228,2.0833339691,0,5.20833182335,21.8750009537,0
0,1,2,9,2.08333349228,2.0833320618,0,5.20833182335,19.7916679382,0
0,1,2,8,2.08333349228,2.0833320618,0,7.29166531563,19.7916679382,0
0,0,1,9,2.08333349228,2.0833339691,0,5.20833182335,21.8750009537,0
0,1,2,8,2.08333349228,2.0833320618,0,7.29166531563,19.7916679382,0
0,1,1,8,2.08333349228,2.0833339691,0,7.29166531563,21.8750009537,0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
0,1,1,10,2.08333349228,2.0833339691,0,3.12499833107,21.8750009537,0
0,1,2,10,2.08333349228,2.0833320618,0,3.12499833107,19.7916679382,0
0,1,2,9,2.08333349228,2.0833320618,0,5.20833182335,19.7916679382,0
0,0,1,10,2.08333349228,2.0833339691,0,3.12499833107,21.8750009537,0
0,1,2,9,2.08333349228,2.0833320618,0,5.20833182335,19.7916679382,0
0,1,1,9,2.08333349228,2.0833339691,0,5.20833182335,21.8750009537,0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
0,1,1,11,2.08333161573,2.0833339691,0,1.04166577706,21.8750009537,0
0,1,2,11,2.08333161573,2.0833320618,0,1.04166577706,19.7916679382,0
0,1,2,10,2.08333349228,2.0833320618,0,3.12499833107,19.7916679382,0
0,0,1,11,2.08333161573,2.0833339691,0,1.04166577706,21.8750009537,0
0,1,2,10,2.08333349228,2.0833320618,0,3.12499833107,19.7916679382,0
0,1,1,10,2.08333349228,2.0833339691,0,3.12499833107,21.8750009537,0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
0,1,1,12,2.08333513041,2.0833339691,0,1.04166759601,21.8750009537,0
0,1,2,12,2.08333513041,2.0833320618,0,1.04166759601,19.7916679382,0
0,1,2,11,2.08333161573,2.0833320618,0,1.04166577706,19.7916679382,0
0,0,1,12,2.08333513041,2.0833339691,0,1.04166759601,21.8750009537,0
0,1,2,11,2.08333161573,2.0833320618,0,1.04166577706,19.7916679382,0
0,1,1,11,2.08333161573,2.0833339691,0,1.04166577706,21.8750009537,0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
0,1,1,13,2.0833337307,2.0833339691,0,3.12500202656,21.8750009537,0
0,1,2,13,2.0833337307,2.0833320618,0,3.12500202656,19.7916679382,0
0,1,2,12,2.08333513041,2.0833320618,0,1.04166759601,19.7916679382,0
0,0,1,13,2.0833337307,2.0833339691,0,3.12500202656,21.8750009537,0
0,1,2,12,2.08333513041,2.0833320618,0,1.04166759601,19.7916679382,0
0,1,1,12,2.08333513041,2.0833339691,0,1.04166759601,21.8750009537,0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
0,1,1,14,2.08333349228,2.0833339691,0,5.20833563805,21.8750009537,0
0,1,2,14,2.08333349228,2.0833320618,0,5.20833563805,19.7916679382,0
0,1,2,13,2.0833337307,2.0833320618,0,3.12500202656,19.7916679382,0
0,0,1,14,2.08333349228,2.0833339691,0,5.20833563805,21.8750009537,0
0,1,2,13,2.0833337307,2.0833320618,0,3.12500202656,19.7916679382,0
0,1,1,13,2.0833337307,2.0833339691,0,3.12500202656,21.8750009537,0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
0,1,1,15,2.08333349227,2.0833339691,0,7.29166913032,21.8750009537,0
0,1,2,15,2.08333349227,2.0833320618,0,7.29166913032,19.7916679382,0
0,1,2,14,2.08333349228,2.0833320618,0,5.20833563805,19.7916679382,0
0,0,1,15,2.08333349227,2.0833339691,0,7.29166913032,21.8750009537,0
0,1,2,14,2.08333349228,2.0833320618,0,5.20833563805,19.7916679382,0
0,1,1,14,2.08333349228,2.0833339691,0,5.20833563805,21.8750009537,0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
0,1,1,16,2.08333396914,2.0833339691,0,9.37500286103,21.8750009537,0
0,1,2,16,2.08333396914,2.0833320618,0,9.37500286103,19.7916679382,0
0,1,2,15,2.08333349227,2.0833320618,0,7.29166913032,19.7916679382,0
0,0,1,16,2.08333396914,2.0833339691,0,9.37500286103,21.8750009537,0
0,1,2,15,2.08333349227,2.0833320618,0,7.29166913032,19.7916679382,0
0,1,1,15,2.08333349227,2.0833339691,0,7.29166913032,21.8750009537,0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
0,1,1,17,2.0833330154,2.0833339691,0,11.4583363533,21.8750009537,0
0,1,2,17,2.0833330154,2.0833320618,0,11.4583363533,19.7916679382,0
0,1,2,16,2.08333396914,2.0833320618,0,9.37500286103,19.7916679382,0
0,0,1,17,2.0833330154,2.0833339691,0,11.4583363533,21.8750009537,0
0,1,2,16,2.08333396914,2.0833320618,0,9.37500286103,19.7916679382,0
0,1,1,16,2.08333396914,2.0833339691,0,9.37500286103,21.8750009537,0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
0,1,1,18,2.0833330155,2.0833339691,0,13.5416693688,21.8750009537,0
0,1,2,18,2.0833330155,2.0833320618,0,13.5416693688,19.7916679382,0
0,1,2,17,2.0833330154,2.0833320618,0,11.4583363533,19.7916679382,0
0,0,1,18,2.0833330155,2.0833339691,0,13.5416693688,21.8750009537,0
0,1,2,17,2.0833330154,2.0833320618,0,11.4583363533,19.7916679382,0
0,1,1,17,2.0833330154,2.0833339691,0,11.4583363533,21.8750009537,0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
